class,precision,recall,f1,ap50,map50-95,num_classes
hole,0.7723862984652958,0.7296723769929208,0.7504220115582476,0.787907447188841,0.36824478443022945,2
wet,0.8465077761898191,0.7575757575757576,0.7995765262116227,0.7842578701445455,0.44054689831265736,2
